test_source_path,fqn,compiled,compile_error_excerpt,tests_total,tests_failed,pass_rate,fail_reasons,line_coverage_pct,branch_coverage_pct,boundary_rate_pct,boundary_hits,boundary_total,boundary_labels
src/test/sk-llmTest/nl/mathNode/OperatorSetLeftNodeGeneratedTest.java,mathNode.OperatorSetLeftNodeGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/OperatorSetLeftNodeGeneratedTest.java:10: error: invalid method declaration; return type required
    public DummyExpression(String identifier) {
           ^
1 error",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/AddCloneGeneratedTest.java,mathNode.AddCloneGeneratedTest,pass,,11,0,100.0,,0.0,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/AddToStringGeneratedTest.java,mathNode.AddToStringGeneratedTest,pass,,12,0,100.0,,7.14,0.0,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/OperatorCheckTreeGeneratedTest.java,mathNode.OperatorCheckTreeGeneratedTest,pass,,7,2,71.43,test_checkTree_singleLevelInvalid_returnsFalse():expected: <true> but was: <false>; test_checkTree_allNodesValid_returnsTrue():expected: <true> but was: <false>,93.33,60.0,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/ExpressionSetParensGeneratedTest.java,mathNode.ExpressionSetParensGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/ExpressionSetParensGeneratedTest.java:14: error: Expression is abstract; cannot be instantiated
        Expression expr = new Expression();
                          ^
/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/ExpressionSetParensGeneratedTest.java:19: error: cannot find symbol
        assertTrue(expr.getParens());
                       ^
  symbol:   method getParens()
  location: variable expr of type Expression",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/IntCloneGeneratedTest.java,mathNode.IntCloneGeneratedTest,pass,,9,0,100.0,,0.0,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/AddCalculateGeneratedTest.java,mathNode.AddCalculateGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/AddCalculateGeneratedTest.java:15: error: cannot find symbol
    private static class MockNode implements Node {
                                             ^
  symbol:   class Node
  location: class AddCalculateGeneratedTest
/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/AddCalculateGeneratedTest.java:22: error: method does not override or implement a method from a supertype
        @Override
        ^",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/FactoryBuildNodeGeneratedTest_2.java,mathNode.FactoryBuildNodeGeneratedTest_2,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/FactoryBuildNodeGeneratedTest_2.java:3: error: interface Expression is public, should be declared in a file named Expression.java
public interface Expression {}
       ^
1 error",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/MultCalculateGeneratedTest.java,mathNode.MultCalculateGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/MultCalculateGeneratedTest.java:15: error: cannot find symbol
    private static class StubNode implements Node {
                                             ^
  symbol:   class Node
  location: class MultCalculateGeneratedTest
/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/MultCalculateGeneratedTest.java:22: error: method does not override or implement a method from a supertype
        @Override
        ^",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/MultToStringGeneratedTest.java,mathNode.MultToStringGeneratedTest,pass,,20,0,100.0,,7.14,0.0,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/FactoryBuildNodeGeneratedTest.java,mathNode.FactoryBuildNodeGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/FactoryBuildNodeGeneratedTest.java:22: error: cannot find symbol
        assertEquals(input, ((Dec) result).getValue(), 1e-9);
                                          ^
  symbol:   method getValue()
  location: class Dec
/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/FactoryBuildNodeGeneratedTest.java:30: error: cannot find symbol
        assertEquals(input, ((Dec) result).getValue(), 1e-9);
                                          ^",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/DecCalculateGeneratedTest.java,mathNode.DecCalculateGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/DecCalculateGeneratedTest.java:15: error: constructor Dec in class Dec cannot be applied to given types;
        Dec dec = new Dec();
                  ^
  required: double
  found:    no arguments
  reason: actual and formal argument lists differ in length
1 error",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/OperatorSetParensGeneratedTest.java,mathNode.OperatorSetParensGeneratedTest,pass,,7,0,100.0,,93.33,60.0,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/DivCalculateGeneratedTest.java,mathNode.DivCalculateGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/DivCalculateGeneratedTest.java:15: error: cannot find symbol
    private static class MockNode implements Node {
                                             ^
  symbol:   class Node
  location: class DivCalculateGeneratedTest
/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/DivCalculateGeneratedTest.java:22: error: method does not override or implement a method from a supertype
        @Override
        ^",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/ExpressionCheckTreeGeneratedTest.java,mathNode.ExpressionCheckTreeGeneratedTest,fail,"/Users/shiqixuan/Documents/dev/llm-test-case-recovery/new/tasks/steps/1-MVP/simple-math-parser/src/test/sk-llmTest/nl/mathNode/ExpressionCheckTreeGeneratedTest.java:15: error: StubExpression is not abstract and does not override abstract method toString() in Expression
    private static class StubExpression extends Expression {
                   ^
1 error",0,0,0.0,,N/A,N/A,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/DecToStringGeneratedTest.java,mathNode.DecToStringGeneratedTest,pass,,18,0,100.0,,25.0,0.0,N/A,0,0,
src/test/sk-llmTest/nl/mathNode/MultCloneGeneratedTest.java,mathNode.MultCloneGeneratedTest,pass,,11,0,100.0,,0.0,N/A,N/A,0,0,
