GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JaCoCo Coverage Report,mathTree,MathTree,522,0,92,0,130,0,55,0,9,0
JaCoCo Coverage Report,mathTree,CalcApp,44,0,6,0,14,0,6,0,3,0
JaCoCo Coverage Report,mathTree,StringScanner,191,0,18,0,38,0,19,0,10,0
JaCoCo Coverage Report,mathNode,Sub,68,0,6,0,14,0,7,0,4,0
JaCoCo Coverage Report,mathNode,Dec,28,0,2,0,8,0,6,0,5,0
JaCoCo Coverage Report,mathNode,Mult,68,0,6,0,14,0,7,0,4,0
JaCoCo Coverage Report,mathNode,Add,68,0,6,0,14,0,7,0,4,0
JaCoCo Coverage Report,mathNode,Factory,73,0,10,0,21,0,13,0,6,0
JaCoCo Coverage Report,mathNode,Pow,51,0,2,0,10,0,5,0,4,0
JaCoCo Coverage Report,mathNode,Int,28,0,2,0,8,0,6,0,5,0
JaCoCo Coverage Report,mathNode,Div,51,0,2,0,10,0,5,0,4,0
JaCoCo Coverage Report,mathNode,Operator,56,0,10,0,15,0,13,0,8,0
JaCoCo Coverage Report,mathNode,Expression,17,0,0,0,5,0,4,0,4,0
